chart_type,hardness,False,True
Bar,Easy,0.3761574074074074,0.6238425925925926
Bar,Extra Hard,0.35987748851454826,0.6401225114854517
Bar,Hard,0.43520642201834864,0.5647935779816514
Bar,Medium,0.3389455028799291,0.6610544971200709
Grouping Line,Extra Hard,0.6222222222222222,0.37777777777777777
Grouping Line,Hard,0.38461538461538464,0.6153846153846154
Grouping Line,Medium,,1.0
Grouping Scatter,Easy,0.3582089552238806,0.6417910447761194
Grouping Scatter,Hard,1.0,
Grouping Scatter,Medium,0.1206896551724138,0.8793103448275862
Line,Easy,0.34615384615384615,0.6538461538461539
Line,Extra Hard,0.22033898305084745,0.7796610169491526
Line,Hard,0.33766233766233766,0.6623376623376623
Line,Medium,0.3373493975903614,0.6626506024096386
Pie,Easy,0.8075471698113208,0.19245283018867926
Pie,Extra Hard,0.8823529411764706,0.11764705882352941
Pie,Hard,0.9074074074074074,0.09259259259259259
Pie,Medium,0.8852459016393442,0.11475409836065574
Scatter,Easy,0.14906832298136646,0.8509316770186336
Scatter,Extra Hard,0.09090909090909091,0.9090909090909091
Scatter,Hard,0.21428571428571427,0.7857142857142857
Scatter,Medium,0.2625,0.7375
Stacked Bar,Easy,,1.0
Stacked Bar,Extra Hard,0.631578947368421,0.3684210526315789
Stacked Bar,Hard,0.1503267973856209,0.8496732026143791
Stacked Bar,Medium,0.018867924528301886,0.9811320754716981
